Name,Total_Count,Dominant_Gender,Origin_Region
Clifford,188666,M,Anglo
Debbie,188008,F,Anglo
Shane,187942,M,Anglo
Corey,187765,M,Anglo
Ronnie,187741,M,Anglo
Ida,186360,F,Anglo
Isaiah,185656,M,Anglo
Connor,185318,M,Irish_Italian
Eileen,185220,F,Anglo
Brooke,185177,F,Anglo
Lucy,185064,F,Anglo
Bernice,184961,F,Anglo
Renee,184783,F,Anglo
Stacy,184231,F,Anglo
Leo,184128,M,Anglo
Casey,183655,M,Anglo
Julian,181363,M,Anglo
Chloe,181216,F,Anglo
Charlie,180617,M,Anglo
Barry,180519,M,Anglo
Jo,180464,F,Anglo
Manuel,180393,M,Latin
Kristin,180341,F,Anglo
Tommy,177554,M,Anglo
Gertrude,177329,F,Anglo
Regina,176167,F,Anglo
Elsie,175408,F,Anglo
Madeline,175171,F,Anglo
Loretta,174643,F,Anglo
Warren,174138,M,Anglo
Mia,173788,F,Anglo
Tara,173544,F,Anglo
Rosa,173390,F,Latin
Jeremiah,171699,M,Anglo
Roberta,171669,F,Anglo
Dean,170779,M,Anglo
Bessie,170733,F,Anglo
Sydney,170297,F,Anglo
Cathy,170287,F,Anglo
Claire,169800,F,Anglo
Riley,169099,M,Anglo
Blake,168950,M,Anglo
Jackie,168485,F,Anglo
Miguel,168133,M,Latin
Laurie,167855,F,Anglo
Annette,167770,F,Anglo
Don,167699,M,Anglo
Jon,166132,M,Anglo
Cassandra,165953,F,Anglo
Chris,165415,M,Anglo
Jeanne,163181,F,Anglo
Jeanette,163145,F,Anglo
Devin,162944,M,Anglo
Leon,162442,M,Anglo
Lindsey,162301,F,Anglo
Colleen,162165,F,Irish_Italian
Mitchell,161314,M,Anglo
Bill,160871,M,Anglo
Lloyd,160800,M,Anglo
Stacey,160767,F,Anglo
Jerome,159910,M,Anglo
Alma,159764,F,Anglo
Brett,159644,M,Anglo
Aiden,159629,M,Anglo
Minnie,159352,F,Anglo
Beth,159291,F,Anglo
Darrell,159118,M,Anglo
Kaitlyn,158833,F,Anglo
Pearl,158506,F,Anglo
Alvin,158190,M,Anglo
Agnes,157593,F,Anglo
Molly,157559,F,Anglo
Shelby,157495,F,Anglo
